"Journals","Data_timing_FIN","Data_strict_FIN","Data_clarit_FIN","Code_timing_FIN","Code_strict_FIN","Code_clarit_FIN"
"acta amazonica","Not Expected At All","Optional for Authors","4","Not Expected At All","Not Mentioned","NA (no policy)"
"acta ethologica","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"acta oecologica-international journal of ecology","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"african journal of ecology","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Mandated","3"
"african journal of range & forage science","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"african journal of wildlife research","During Peer Review","Encouraged","1","Not Expected At All","Not Mentioned","NA (no policy)"
"agriculture ecosystems & environment","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"alpine botany","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"ambient science","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"american journal of biological anthropology","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","1"
"american naturalist","During Peer Review","Mandated","5","During Peer Review","Mandated","5"
"animal behaviour","During Peer Review","Mandated","3","During Peer Review","Mandated","4"
"animal biotelemetry","During Peer Review","Encouraged","3","During Peer Review","Encouraged","4"
"animal conservation","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","3"
"annales zoologici fennici","After Acceptance (Post-Publication)","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"annals of botany","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"annual review of animal biosciences","Not Expected At All","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"annual review of ecology evolution and systematics","Not Expected At All","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
