"","x"
"1","acta amazonica"
"2","acta ethologica"
"3","acta oecologica-international journal of ecology"
"4","african journal of ecology"
"5","african journal of range & forage science"
"6","african journal of wildlife research"
"7","agriculture ecosystems & environment"
"8","alpine botany"
"9","ambient science"
"10","american journal of biological anthropology"
"11","american naturalist"
"12","animal behaviour"
"13","animal biotelemetry"
"14","animal conservation"
"15","annales zoologici fennici"
"16","annals of botany"
"17","annual review of animal biosciences"
"18","annual review of ecology evolution and systematics"
"19","annual review of entomology"
"20","anthropocene"
"21","anthropological science"
"22","aob plants"
"23","applied ecology and environmental research"
"24","applied soil ecology"
"25","applied vegetation science"
"26","aquatic ecology"
"27","aquatic invasions"
"28","aquatic microbial ecology"
"29","aquatic toxicology"
"30","arctic science"
"31","arid ecosystems"
"32","austral ecology"
"33","australian journal of botany"
"34","australian systematic botany"
"35","avian conservation and ecology"
"36","basic and applied ecology"
"37","behavior research methods"
"38","behavioral ecology"
"39","behavioral ecology and sociobiology"
"40","biochemical systematics and ecology"
"41","biodiversity and conservation"
"42","biogeosciences"
"43","biological conservation"
"44","biological invasions"
"45","biological journal of the linnean society"
"46","biological reviews"
"47","biology letters"
"48","biology open"
"49","biosystems diversity"
"50","biotropica"
"51","bird conservation international"
"52","bmc ecology and evolution"
"53","bulletin of the american museum of natural history"
"54","bulletin of the peabody museum of natural history"
"55","chemistry and ecology"
"56","chemoecology"
"57","cladistics"
"58","communications biology"
"59","community ecology"
"60","compost science & utilization"
"61","conservation biology"
"62","conservation letters"
"63","conservation physiology"
"64","contemporary problems of ecology"
"65","current biology"
"66","current opinion in insect science"
"67","development genes and evolution"
"68","diversity-basel"
"69","diversity and distributions"
"70","eco mont-journal on protected mountain areas research"
"71","ecography"
"72","ecohydrology"
"73","ecohydrology & hydrobiology"
"74","ecologia aplicada"
"75","ecological applications"
"76","ecological complexity"
"77","ecological economics"
"78","ecological engineering"
"79","ecological indicators"
"80","ecological informatics"
"81","ecological management & restoration"
"82","ecological modelling"
"83","ecological monographs"
"84","ecological processes"
"85","ecological questions"
"86","ecological research"
"87","ecological restoration"
"88","ecology"
"89","ecology and evolution"
"90","ecology and society"
"91","ecology letters"
"92","ecology, environment and conservation"
"93","ecoscience"
"94","ecosistemas"
"95","ecosphere"
"96","ecosystem health and sustainability"
"97","ecosystem services"
"98","ecosystems"
"99","ecotoxicology"
"100","elife"
"101","environmental biology of fishes"
"102","environmental evidence"
"103","environmental pollution"
"104","ethology"
"105","ethology, ecology and evolution"
"106","european journal of soil biology"
"107","european journal of wildlife research"
"108","evodevo"
"109","evolution"
"110","evolution & development"
"111","evolution letters"
"112","evolution medicine and public health"
"113","evolutionary applications"
"114","evolutionary bioinformatics"
"115","evolutionary biology"
"116","evolutionary ecology"
"117","fems microbiology ecology"
"118","fire-switzerland"
"119","fire ecology"
"120","fish and fisheries"
"121","flora"
"122","folia oecologica"
"123","food webs"
"124","freshwater biology"
"125","freshwater science"
"126","frontiers in ecology and evolution"
"127","frontiers in ecology and the environment"
"128","frontiers in forests and global change"
"129","frontiers in zoology"
"130","functional ecology"
"131","fungal diversity"
"132","fungal ecology"
"133","genome biology and evolution"
"134","global change biology"
"135","global ecology and biogeography"
"136","global ecology and conservation"
"137","global environmental change"
"138","heredity"
"139","human-wildlife interactions"
"140","human ecology"
"141","ideas in ecology and evolution"
"142","insect systematics & evolution"
"143","integrative organismal biology"
"144","interciencia"
"145","international journal for parasitology-parasites and wildlife"
"146","international journal of ecology & development"
"147","international journal of sustainable development and world ecology"
"148","invertebrate systematics"
"149","isme journal"
"150","israel journal of ecology & evolution"
"151","journal for nature conservation"
"152","journal of animal ecology"
"153","journal of applied ecology"
"154","journal of arid environments"
"155","journal of avian biology"
"156","journal of biogeography"
"157","journal of biological dynamics"
"158","journal of chemical ecology"
"159","journal of comparative physiology b: biochemical, systemic and environmental physiology"
"160","journal of ecology"
"161","journal of evolutionary biochemistry and physiology"
"162","journal of evolutionary biology"
"163","journal of experimental biology"
"164","journal of experimental marine biology and ecology"
