Manuscript ID,Manuscript Type,Manuscript Type,Submission Date,Submission Question,Submission Question Response
[redacted],Research,Research,10/03/2023 6:12,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 6:12,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 9:06,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 9:06,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 9:22,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 9:22,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 9:33,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 9:33,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 10:29,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 10:29,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 10:43,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 10:43,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 11:30,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 11:30,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,10/03/2023 16:06,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,10/03/2023 16:06,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,11/03/2023 6:57,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,11/03/2023 6:57,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,11/03/2023 7:25,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,11/03/2023 7:25,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,11/03/2023 18:18,"Does your paper present new data, or use data/models published elsewhere?",Yes
