Manuscript.ID,Manuscript.Type,Submission.Question.Response.x,Submission.Question.Response.y
anon-ID_C_01,Research,Yes,[redacted]
anon-ID_C_02,Research,Yes,[redacted]
anon-ID_C_03,Research,Yes,[redacted]
anon-ID_C_04,Research,Yes,[redacted]
anon-ID_C_05,Research,Yes,[redacted]
anon-ID_C_06,Research,Yes,[redacted]
anon-ID_C_07,Research,Yes,[redacted]
anon-ID_C_08,Review,Yes,[redacted]
anon-ID_C_09,Review,My paper has no data,[redacted]
anon-ID_C_10,Research,Yes,[redacted]
anon-ID_C_11,Research,Yes,[redacted]
anon-ID_C_12,Research,Yes,[redacted]
anon-ID_C_13,Research,Yes,[redacted]
anon-ID_C_14,Research,Yes,[redacted]
anon-ID_C_15,Review,My paper has no data,[redacted]
anon-ID_C_16,Research,Yes,[redacted]
anon-ID_C_17,Research,Yes,[redacted]
anon-ID_C_18,Research,Yes,[redacted]
anon-ID_C_19,Research,Yes,[redacted]
anon-ID_C_20,Research,Yes,[redacted]
anon-ID_C_21,Research,Yes,[redacted]
anon-ID_C_22,Research,Yes,[redacted]
anon-ID_C_23,Research,Yes,[redacted]
anon-ID_C_24,Research,Yes,[redacted]
anon-ID_C_25,Research,Yes,[redacted]
anon-ID_C_26,Research,Yes,[redacted]
anon-ID_C_27,Research,Yes,[redacted]
anon-ID_C_28,Research,Yes,[redacted]
anon-ID_C_29,Research,Yes,[redacted]
anon-ID_C_30,Research,Yes,[redacted]
anon-ID_C_31,Research,Yes,[redacted]
anon-ID_C_32,Research,Yes,[redacted]
anon-ID_C_33,Research,Yes,[redacted]
anon-ID_C_34,Research,Yes,[redacted]
anon-ID_C_35,Research,Yes,[redacted]
anon-ID_C_36,Research,Yes,[redacted]
anon-ID_C_37,Research,Yes,[redacted]
anon-ID_C_38,Research,Yes,[redacted]
anon-ID_C_39,Research,Yes,[redacted]
anon-ID_C_40,Commentary,My paper has no data,[redacted]
anon-ID_C_41,Research,Yes,[redacted]
anon-ID_C_42,Review,Yes,[redacted]
anon-ID_C_43,Review,My paper has no data,[redacted]
anon-ID_C_44,Research,Yes,[redacted]
anon-ID_C_45,Research,Yes,[redacted]
anon-ID_C_46,Research,My paper has no data,[redacted]
anon-ID_C_47,Research,Yes,[redacted]
anon-ID_C_48,Research,Yes,[redacted]
anon-ID_C_49,Research,Yes,[redacted]
anon-ID_C_50,Research,Yes,[redacted]
anon-ID_C_51,Research,Yes,[redacted]
anon-ID_C_52,Review,Yes,[redacted]
anon-ID_C_53,Research,Yes,[redacted]
anon-ID_C_54,Research,Yes,[redacted]
anon-ID_C_55,Research,Yes,[redacted]
anon-ID_C_56,Research,Yes,[redacted]
anon-ID_C_57,Research,Yes,[redacted]
anon-ID_C_58,Research,Yes,[redacted]
anon-ID_C_59,Research,Yes,[redacted]
anon-ID_C_60,Research,Yes,[redacted]
anon-ID_C_61,Research,Yes,[redacted]
anon-ID_C_62,Research,Yes,[redacted]
anon-ID_C_63,Research,Yes,[redacted]
anon-ID_C_64,Research,My paper has no data,[redacted]
anon-ID_C_65,Research,Yes,[redacted]
anon-ID_C_66,Research,Yes,[redacted]
anon-ID_C_67,Research,Yes,[redacted]
anon-ID_C_68,Research,Yes,[redacted]
anon-ID_C_69,Research,Yes,[redacted]
anon-ID_C_70,Research,Yes,[redacted]
anon-ID_C_71,Research,Yes,[redacted]
anon-ID_C_72,Research,Yes,[redacted]
anon-ID_C_73,Research,Yes,[redacted]
anon-ID_C_74,Research,Yes,[redacted]
anon-ID_C_75,Research,Yes,[redacted]
anon-ID_C_76,Research,Yes,[redacted]
anon-ID_C_77,Research,Yes,[redacted]
anon-ID_C_78,Research,Yes,[redacted]
anon-ID_C_79,Research,Yes,[redacted]
anon-ID_C_80,Research,Yes,[redacted]
anon-ID_C_81,Research,Yes,[redacted]
anon-ID_C_82,Research,Yes,[redacted]
anon-ID_C_83,Research,My paper has no data,[redacted]
anon-ID_C_84,Research,Yes,[redacted]
anon-ID_C_85,Research,My paper has no data,[redacted]
anon-ID_C_86,Research,Yes,[redacted]
anon-ID_C_87,Research,Yes,[redacted]
anon-ID_C_88,Research,Yes,[redacted]
anon-ID_C_89,Research,Yes,[redacted]
anon-ID_C_90,Research,Yes,[redacted]
anon-ID_C_91,Research,Yes,[redacted]
anon-ID_C_92,Research,Yes,[redacted]
anon-ID_C_93,Research,Yes,[redacted]
anon-ID_C_94,Review,My paper has no data,[redacted]
anon-ID_C_95,Research,My paper has no data,[redacted]
anon-ID_C_96,Research,Yes,[redacted]
anon-ID_C_97,Research,Yes,[redacted]
anon-ID_C_98,Research,Yes,[redacted]
anon-ID_C_99,Research,Yes,[redacted]
anon-ID_C_100,Research,Yes,[redacted]
anon-ID_C_101,Research,Yes,[redacted]
anon-ID_C_102,Research,Yes,[redacted]
anon-ID_C_103,Research,Yes,[redacted]
anon-ID_C_104,Research,Yes,[redacted]
anon-ID_C_105,Research,Yes,[redacted]
anon-ID_C_106,Research,My paper has no data,[redacted]
anon-ID_C_107,Research,My paper has no data,[redacted]
anon-ID_C_108,Research,Yes,[redacted]
anon-ID_C_109,Research,Yes,[redacted]
anon-ID_C_110,Research,Yes,[redacted]
anon-ID_C_111,Research,Yes,[redacted]
anon-ID_C_112,Research,Yes,[redacted]
anon-ID_C_113,Research,My paper has no data,[redacted]
anon-ID_C_114,Research,Yes,[redacted]
anon-ID_C_115,Research,Yes,[redacted]
anon-ID_C_116,Research,Yes,[redacted]
anon-ID_C_117,Research,Yes,[redacted]
anon-ID_C_118,Research,Yes,[redacted]
anon-ID_C_119,Research,Yes,[redacted]
anon-ID_C_120,Research,Yes,[redacted]
anon-ID_C_121,Research,Yes,[redacted]
anon-ID_C_122,Research,Yes,[redacted]
anon-ID_C_123,Research,Yes,[redacted]
anon-ID_C_124,Research,Yes,[redacted]
anon-ID_C_125,Research,Yes,[redacted]
anon-ID_C_126,Research,Yes,[redacted]
anon-ID_C_127,Research,My paper has no data,[redacted]
anon-ID_C_128,Research,My paper has no data,[redacted]
anon-ID_C_129,Research,Yes,[redacted]
anon-ID_C_130,Research,Yes,[redacted]
anon-ID_C_131,Research,Yes,[redacted]
