"Journals","N_responses","Data_timing","Data_timing_agree","Data_strict","Data_strict_agree","Data_clar_mean","Data_clar_mode","Data_clar_agree","Data_clar_NAs","Code_timing","Code_timing_agree","Code_strict","Code_strict_agree","Code_clar_mean","Code_clar_mode","Code_clar_agree","Code_clar_NAs"
"acta amazonica",3,NA,NA,"Optional for Authors",2,3.66666666666667,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"acta ethologica",3,NA,NA,"Encouraged",3,4,NA,NA,0,"Unclear",2,"Not Mentioned",2,1.5,NA,NA,1
"acta oecologica-international journal of ecology",3,"Unclear",2,"Mandated",2,2.66666666666667,NA,NA,0,"Unclear",3,"Optional for Authors",2,2.66666666666667,NA,NA,0
"african journal of ecology",3,"Unclear",3,"Mandated",2,3,NA,NA,0,"Unclear",3,"Encouraged",2,3,NA,NA,0
"african journal of range & forage science",3,"During Peer Review",3,"Encouraged",3,4,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"african journal of wildlife research",3,"Unclear",2,"Not Mentioned",2,1,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"agriculture ecosystems & environment",3,"Unclear",2,"Mandated",2,3.33333333333333,"3",2,0,"Unclear",2,NA,NA,2.33333333333333,"2",2,0
"alpine botany",3,"Unclear",2,"Encouraged",3,4.33333333333333,"4",2,0,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2
"ambient science",3,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"american journal of biological anthropology",3,"After Acceptance (Post-Publication)",2,"Encouraged",2,3.33333333333333,"4",2,0,"Not Expected At All",2,"Not Mentioned",2,4,"No_Rating",2,2
"american naturalist",3,"During Peer Review",3,"Mandated",3,5,"5",3,0,"During Peer Review",3,"Mandated",3,5,"5",3,0
"animal behaviour",3,"Unclear",2,"Mandated",2,3.33333333333333,"3",2,0,"Unclear",3,"Encouraged",3,4,NA,NA,0
"animal biotelemetry",3,"Unclear",3,"Encouraged",2,3.33333333333333,"3",2,0,"During Peer Review",2,NA,NA,4.5,NA,NA,1
"animal conservation",3,"Unclear",2,"Encouraged",2,4,"4",3,0,"Unclear",2,"Encouraged",2,3.5,NA,NA,1
"annales zoologici fennici",3,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"annals of botany",3,"Unclear",2,"Encouraged",3,4,"4",3,0,"Unclear",2,"Encouraged",3,3.66666666666667,"4",2,0
"annual review of animal biosciences",3,"Unclear",2,"Not Mentioned",2,2,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"annual review of ecology evolution and systematics",3,"Unclear",2,"Not Mentioned",2,2,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"annual review of entomology",3,"Unclear",2,"Not Mentioned",2,2,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"anthropocene",3,"Unclear",3,"Mandated",2,3,NA,NA,0,"Unclear",2,"Encouraged",2,2.33333333333333,"2",2,0
"anthropological science",3,"After Acceptance (Post-Publication)",2,"Encouraged",2,3.66666666666667,"4",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"aob plants",3,"After Acceptance (Post-Publication)",2,"Mandated",3,4.33333333333333,"4",2,0,"Not Expected At All",3,"Not Mentioned",2,4,"No_Rating",2,2
"applied ecology and environmental research",3,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"applied soil ecology",3,"Unclear",2,"Mandated",2,3.66666666666667,"4",2,0,"Unclear",2,NA,NA,2.66666666666667,"3",2,0
"applied vegetation science",3,NA,NA,"Mandated",3,4.66666666666667,"5",2,0,NA,NA,"Mandated",2,4,"4",3,0
"aquatic ecology",3,"Unclear",2,"Encouraged",3,3.66666666666667,"4",2,0,"Unclear",2,"Not Mentioned",2,1.66666666666667,"2",2,0
"aquatic invasions",3,NA,NA,NA,NA,2.66666666666667,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"aquatic microbial ecology",3,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2
"aquatic toxicology",3,NA,NA,"Mandated",2,4,"4",3,0,NA,NA,"Encouraged",2,4,"4",3,0
"arctic science",3,NA,NA,"Optional for Authors",2,3.66666666666667,"3",2,0,"Unclear",2,"Not Mentioned",3,1.5,NA,NA,1
"arid ecosystems",3,"After Acceptance (Post-Publication)",2,"Encouraged",2,4.33333333333333,"5",2,0,"Not Expected At All",2,"Not Mentioned",2,2,"2",2,1
"austral ecology",3,"Unclear",2,"Encouraged",3,4,"4",3,0,"Unclear",2,"Encouraged",3,4,NA,NA,0
"australian journal of botany",3,"Unclear",2,"Encouraged",3,3.66666666666667,"4",2,0,"Not Expected At All",3,"Not Mentioned",2,3,"No_Rating",2,2
"australian systematic botany",3,"Unclear",2,"Encouraged",3,3.66666666666667,"4",2,0,"Not Expected At All",3,"Not Mentioned",2,3,"No_Rating",2,2
"avian conservation and ecology",3,"Unclear",2,"Not Mentioned",3,1,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"basic and applied ecology",3,"Unclear",2,"Not Mentioned",2,3,NA,NA,1,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"behavior research methods",3,"During Peer Review",2,"Mandated",3,4.33333333333333,"4",2,0,NA,NA,"Encouraged",2,3.5,NA,NA,1
"behavioral ecology",3,"After Acceptance (Post-Publication)",3,"Mandated",3,5,"5",3,0,"After Acceptance (Post-Publication)",2,"Encouraged",3,3.66666666666667,"4",2,0
"behavioral ecology and sociobiology",3,"During Peer Review",3,"Mandated",3,5,"5",3,0,NA,NA,"Encouraged",3,2.66666666666667,"2",2,0
"biochemical systematics and ecology",3,"During Peer Review",2,"Mandated",3,4,"4",3,0,"Unclear",2,NA,NA,4,"4",2,1
"biodiversity and conservation",3,NA,NA,"Encouraged",3,4,"4",3,0,"Unclear",3,"Encouraged",2,2,"2",2,1
"biogeosciences",3,"Unclear",3,"Encouraged",2,4,"4",3,0,"Unclear",3,"Encouraged",3,3.5,NA,NA,1
"biological conservation",3,NA,NA,"Mandated",3,4,NA,NA,0,NA,NA,"Mandated",2,3.5,NA,NA,1
"biological invasions",3,"Unclear",2,"Encouraged",3,3.66666666666667,"4",2,0,"Unclear",3,NA,NA,1.66666666666667,"1",2,0
"biological journal of the linnean society",3,"Unclear",2,"Encouraged",3,4,NA,NA,0,"Unclear",2,"Encouraged",3,3.33333333333333,"4",2,0
"biological reviews",3,"Not Expected At All",2,NA,NA,2,NA,NA,1,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2
"biology letters",3,"During Peer Review",3,"Mandated",3,5,"5",3,0,"During Peer Review",3,"Mandated",3,4.33333333333333,"5",2,0
