MergeID,Timestamp,Email.Address,Name.of.Reviewer,Name.of.Journal,When.was.the.earliest.the.journal.expected.data.to.be.provided..x,How.strict.is.this.policy...Data.policy.,Provide.the.text.that.mentions.the.above.statement..if.possible..,How.clear.do.you.think.this.statement.is.,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any.,Any.other.comments.,When.was.the.earliest.the.journal.expected.code.to.be.provided..x,How.strict.is.this.policy...Code.Policy.,Provide.the.text.that.mentions.the.above.statement..if.possible...1,How.clear.do.you.think.this.statement.is..1,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any..1,Any.other.comments..1
anon_ID_01,10/17/2023 20:21:49,[redacted],[redacted],acta amazonica,Unclear,Mandated,"All original research articles have to include a ""Data availability"" section informing whether the dataset is available to the public and where it is deposited. Include this section in the title page.",2,https://acta.inpa.gov.br/guia_ingles.php,"They actually mandate that articles have ""Data availability"" section, but not that the data are OA.",Not Expected At All,Not Mentioned,,NA,,
anon_ID_02,10/17/2023 20:48:07,[redacted],[redacted],acta ethologica,Unclear,Encouraged,The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible. Please see Springer Nature’s information on recommended repositories.,5,https://www.springer.com/journal/10211/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_03,10/17/2023 20:36:59,[redacted],[redacted],acta oecologica-international journal of ecology,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",4,https://www.sciencedirect.com/journal/acta-oecologica/publish/guide-for-authors,,Unclear,Optional for Authors,"This journal enables you to publish research objects related to your original research – such as data, methods, protocols, software and hardware – as an additional paper in a Research Elements journal.",5,https://www.sciencedirect.com/journal/acta-oecologica/publish/guide-for-authors,
anon_ID_04,10/17/2023 20:53:16,[redacted],[redacted],advances in ecological research,Unclear,Not Mentioned,,NA,,Unclear if this is a journal? https://www.sciencedirect.com/bookseries/advances-in-ecological-research,Unclear,Not Mentioned,,NA,,
anon_ID_05,10/17/2023 21:04:41,[redacted],[redacted],african journal of ecology,Unclear,Mandated,"African Journal of Ecology expects that data supporting the results in the paper will be archived in an appropriate public repository. Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared. ",3,https://onlinelibrary.wiley.com/page/journal/13652028/homepage/forauthors.html#policies,They use word 'expects' which is vague on how strict it is,Unclear,Optional for Authors,Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly archived.,3,https://onlinelibrary.wiley.com/page/journal/13652028/homepage/forauthors.html#policies,
anon_ID_06,10/17/2023 22:00:06,[redacted],[redacted],african journal of range & forage science,During Peer Review,Encouraged,"This journal applies the Taylor & Francis basic data sharing policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns. Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. ",4,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tarf20,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_07,10/17/2023 22:02:41,[redacted],[redacted],african journal of wildlife research,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_08,10/17/2023 22:35:00,[redacted],[redacted],agriculture ecosystems & environment,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",4,https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors#87510,Unclear if data submission is required during the submission. What is required at submission is just Data availability statement.,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",3,https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors#87510,
anon_ID_09,10/17/2023 22:39:16,[redacted],[redacted],alpine botany,Unclear,Encouraged,The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers.,5,https://www.springer.com/journal/35/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_10,10/17/2023 22:42:53,[redacted],[redacted],ambient science,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
