Journal,Culina
Acta Oecologica-International Journal of Ecology,Encouraged
Agriculture Ecosystems & Environment,Encouraged
American Naturalist,Encouraged
Animal Conservation,Encouraged/Mandatory
Annual Review of Ecology Evolution and Systematics,No
Applied Vegetation Science,Encouraged/Mandatory
Aquatic Ecology,Encouraged
Aquatic Microbial Ecology,No
Austral Ecology,Encouraged
Basic and Applied Ecology,No
Behavioral Ecology,No
Behavioral Ecology and Sociobiology,No
Biodiversity and Conservation,Encouraged
Biogeosciences,Encouraged
Biological Conservation,Encouraged
Biological Invasions,Encouraged
Biology Letters,Mandatory
Biotropica,Encouraged
Chemoecology,Encouraged
Community Ecology,Encouraged
Conservation Biology,Encouraged
Diversity and Distributions,Encouraged/Mandatory
Ecography,Mandatory
Ecohydrology,Encouraged
Ecological Applications,Mandatory
Ecological Complexity,Encouraged
Ecological Economics,Encouraged
Ecological Engineering,Encouraged
Ecological Informatics,Encouraged
Ecological Modelling,Encouraged
Ecological Monographs,Mandatory
Ecological Research,Encouraged
Ecology,Mandatory
Ecology and Evolution,No
Ecology and Society,Mandatory
Ecology Letters,Encouraged/Mandatory
Ecosphere,Mandatory
Ecosystems,No
Ecotoxicology,Encouraged
Environmental Biology of Fishes,Encouraged
European Journal of Soil Biology,Encouraged
European Journal of Wildlife Research,Encouraged
Evolution,Mandatory
Evolutionary Ecology,Encouraged
Flora,Encouraged
Freshwater Science,No
Frontiers in Ecology and the Environment,No
Functional Ecology,Encouraged/Mandatory
Fungal Ecology,Encouraged
Global Change Biology,No
Global Ecology and Biogeography,Encouraged/Mandatory
Heredity,Encouraged/Mandatory
International Journal of Sustainable Development and World Ecology,No
ISME Journal,Encouraged
Journal for Nature Conservation,Encouraged
Journal of Animal Ecology,Encouraged/Mandatory
Journal of Applied Ecology,Encouraged/Mandatory
Journal of Arid Environments,Encouraged
Journal of Biogeography,Encouraged/Mandatory
Journal of Ecology,Encouraged/Mandatory
Journal of Evolutionary Biology,Mandatory
Journal of Experimental Marine Biology and Ecology,Encouraged
Journal of Plant Ecology,No
Journal of Soil and Water Conservation,No
Journal of the North American Benthological Society,No
Journal of Tropical Ecology,Encouraged
Journal of Vegetation Science,Encouraged/Mandatory
Journal of Wildlife Management,Encouraged
Landscape and Urban Planning,Encouraged
Landscape Ecology,No
Marine Ecology Progress Series,No
Methods in Ecology and Evolution,Encouraged/Mandatory
Microbial Ecology,No
Molecular Ecology,Encouraged
Molecular Ecology Resources,Encouraged
Oecologia,No
Oikos,No
Oryx,No
Paleobiology,No
Pedobiologia,Encouraged
Perspectives in Plant Ecology Evolution and Systematics,Encouraged
Plant Ecology,Encouraged
Plant Species Biology,Encouraged
Polar Biology,Encouraged
Polar Research,No
Population Ecology,Encouraged
Proceedings of the Royal Society B-Biological Sciences,Mandatory
Rangeland Ecology & Management,Encouraged
Restoration Ecology,Encouraged
Theoretical Ecology,Encouraged
Theoretical Population Biology,Encouraged
Trends in Ecology & Evolution,No
Urban Ecosystems,Encouraged
Wetlands,Encouraged
Wildlife Monographs,Encouraged
Wildlife Research,No
