Journal,policy
ACTA AMAZONICA,none
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,strong
AFRICAN JOURNAL OF ECOLOGY,weak
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,weak
AFRICAN JOURNAL OF WILDLIFE RESEARCH,none
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,strong
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,weak
AMERICAN MIDLAND NATURALIST,none
AMERICAN NATURALIST,strong
ANIMAL CONSERVATION,weak
ANNALES ZOOLOGICI FENNICI,weak
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,none
ANTHROPOLOGICAL SCIENCE,weak
AOB PLANTS,strong
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,none
APPLIED VEGETATION SCIENCE,strong
AQUATIC ECOLOGY,weak
AQUATIC INVASIONS,strong
AQUATIC MICROBIAL ECOLOGY,none
ARCTIC SCIENCE,weak
AUSTRAL ECOLOGY,weak
AUSTRALIAN SYSTEMATIC BOTANY,strong
BASIC AND APPLIED ECOLOGY,none
BEHAVIORAL ECOLOGY,strong
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,strong
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,strong
BIODIVERSITY AND CONSERVATION,weak
BIOGEOSCIENCES,strong
BIOLOGICAL CONSERVATION,strong
BIOLOGICAL INVASIONS,weak
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,weak
BIOLOGY LETTERS,strong
BIOTROPICA,strong
BMC ECOLOGY,weak
BMC EVOLUTIONARY BIOLOGY,weak
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,none
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,none
CHEMISTRY AND ECOLOGY,weak
CHEMOECOLOGY,weak
CLADISTICS,strong
COMMUNITY ECOLOGY,weak
COMPOST SCIENCE & UTILIZATION,none
CONSERVATION BIOLOGY,weak
CONSERVATION PHYSIOLOGY,weak
CONTEMPORARY PROBLEMS OF ECOLOGY,none
CURRENT OPINION IN INSECT SCIENCE,none
DEVELOPMENT GENES AND EVOLUTION,weak
DIVERSITY AND DISTRIBUTIONS,strong
ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,none
ECOGRAPHY,strong
ECOHYDROLOGY,weak
ECOHYDROLOGY & HYDROBIOLOGY,weak
ECOLOGICAL APPLICATIONS,strong
ECOLOGICAL COMPLEXITY,strong
ECOLOGICAL ECONOMICS,strong
ECOLOGICAL ENGINEERING,strong
ECOLOGICAL INFORMATICS,strong
ECOLOGICAL MANAGEMENT & RESTORATION,weak
ECOLOGICAL MODELLING,strong
ECOLOGICAL MONOGRAPHS,strong
ECOLOGICAL PROCESSES,weak
ECOLOGICAL RESEARCH,weak
ECOLOGICAL RESTORATION,none
ECOLOGY,strong
ECOLOGY AND EVOLUTION,strong
ECOLOGY AND SOCIETY,weak
ECOLOGY LETTERS,strong
ECOSCIENCE,weak
ECOSPHERE,strong
ECOSYSTEM HEALTH AND SUSTAINABILITY,none
ECOSYSTEM SERVICES,strong
ECOSYSTEMS,weak
ECOTOXICOLOGY,weak
ENVIRONMENTAL BIOLOGY OF FISHES,weak
EUROPEAN JOURNAL OF SOIL BIOLOGY,strong
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,weak
EVODEVO,strong
EVOLUTION,strong
EVOLUTION & DEVELOPMENT,weak
EVOLUTION LETTERS,weak
EVOLUTION MEDICINE AND PUBLIC HEALTH,weak
EVOLUTIONARY APPLICATIONS,strong
EVOLUTIONARY BIOINFORMATICS,weak
EVOLUTIONARY BIOLOGY,strong
EVOLUTIONARY ECOLOGY,weak
EVOLUTIONARY ECOLOGY RESEARCH,none
FIRE ECOLOGY,weak
FLORA,weak
FRESHWATER BIOLOGY,weak
FRESHWATER SCIENCE,none
FRONTIERS IN ECOLOGY AND EVOLUTION,strong
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,none
FUNCTIONAL ECOLOGY,strong
FUNGAL ECOLOGY,weak
GENOME BIOLOGY AND EVOLUTION,strong
GLOBAL CHANGE BIOLOGY,strong
GLOBAL ECOLOGY AND BIOGEOGRAPHY,weak
GLOBAL ECOLOGY AND CONSERVATION,strong
HEREDITY,strong
HUMAN-WILDLIFE INTERACTIONS,none
INSECT SYSTEMATICS & EVOLUTION,none
INTERCIENCIA,none
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,weak
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,weak
INVERTEBRATE SYSTEMATICS,weak
ISME JOURNAL,weak
ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,none
JOURNAL FOR NATURE CONSERVATION,strong
JOURNAL OF ANIMAL ECOLOGY,strong
JOURNAL OF APPLIED ECOLOGY,strong
JOURNAL OF ARID ENVIRONMENTS,strong
JOURNAL OF BIOGEOGRAPHY,strong
JOURNAL OF BIOLOGICAL DYNAMICS,weak
JOURNAL OF CHEMICAL ECOLOGY,weak
JOURNAL OF ECOLOGY,strong
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,none
JOURNAL OF EVOLUTIONARY BIOLOGY,strong
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,strong
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,weak
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,strong
JOURNAL OF FRESHWATER ECOLOGY,strong
JOURNAL OF HEREDITY,strong
JOURNAL OF HUMAN EVOLUTION,strong
JOURNAL OF MOLECULAR EVOLUTION,weak
JOURNAL OF NATURAL HISTORY,weak
JOURNAL OF PLANT ECOLOGY,weak
JOURNAL OF SOIL AND WATER CONSERVATION,none
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,weak
JOURNAL OF TROPICAL ECOLOGY,none
JOURNAL OF VEGETATION SCIENCE,strong
JOURNAL OF WILDLIFE MANAGEMENT,weak
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,weak
LANDSCAPE AND ECOLOGICAL ENGINEERING,weak
LANDSCAPE AND URBAN PLANNING,strong
LANDSCAPE ECOLOGY,weak
MAMMAL REVIEW,weak
MARINE BIOLOGY RESEARCH,weak
MARINE ECOLOGY PROGRESS SERIES,none
METHODS IN ECOLOGY AND EVOLUTION,strong
MICROBIAL ECOLOGY,weak
MOLECULAR BIOLOGY AND EVOLUTION,strong
MOLECULAR ECOLOGY,strong
MOLECULAR ECOLOGY RESOURCES,strong
MOLECULAR PHYLOGENETICS AND EVOLUTION,weak
MOVEMENT ECOLOGY,weak
NATURAL AREAS JOURNAL,none
NATURE ECOLOGY & EVOLUTION,weak
NEOBIOTA,weak
NEW ZEALAND JOURNAL OF ECOLOGY,weak
NORTHEASTERN NATURALIST,none
NORTHWEST SCIENCE,none
OECOLOGIA,weak
OIKOS,strong
ORGANISMS DIVERSITY & EVOLUTION,weak
ORYX,none
PALEOBIOLOGY,none
PEDOBIOLOGIA,strong
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,strong
PHYTOCOENOLOGIA,none
PLANT ECOLOGY,weak
PLANT SPECIES BIOLOGY,weak
PLANT SYSTEMATICS AND EVOLUTION,weak
POLAR BIOLOGY,weak
POLAR RECORD,weak
POLAR RESEARCH,none
POLAR SCIENCE,strong
POLISH JOURNAL OF ECOLOGY,none
POLISH POLAR RESEARCH,none
POPULATION ECOLOGY,weak
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,none
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,none
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,strong
RANGELAND ECOLOGY & MANAGEMENT,weak
RANGELAND JOURNAL,weak
REGIONAL STUDIES IN MARINE SCIENCE,strong
REMOTE SENSING IN ECOLOGY AND CONSERVATION,weak
RESTORATION ECOLOGY,weak
REVISTA CHILENA DE HISTORIA NATURAL,weak
REVUE D ECOLOGIE-LA TERRE ET LA VIE,none
RUSSIAN JOURNAL OF ECOLOGY,none
SOUTHEASTERN NATURALIST,none
SOUTHWESTERN NATURALIST,none
SYSTEMATIC BIOLOGY,strong
SYSTEMATIC BOTANY,strong
SYSTEMATIC ENTOMOLOGY,strong
TAXON,none
THEORETICAL ECOLOGY,weak
THEORETICAL POPULATION BIOLOGY,strong
TRENDS IN ECOLOGY & EVOLUTION,none
TROPICAL ECOLOGY,none
URBAN ECOSYSTEMS,weak
VIE ET MILIEU-LIFE AND ENVIRONMENT,none
WEB ECOLOGY,weak
WESTERN NORTH AMERICAN NATURALIST,none
WETLANDS,weak
WILDLIFE BIOLOGY,strong
WILDLIFE MONOGRAPHS,weak
WILDLIFE RESEARCH,weak
ZOOLOGICA SCRIPTA,none
