Journals,Publisher,Publisher-Level Policy,2024_Update?,Reviewer_A,Reviewer_B,Reviewer_notes,Data_timing_DE,Data_timing_agree,Data_timing_FIN,Data_strict_DE,Data_strict_agree,Data_strict_FIN,Code_timing_DE,Code_timing_agree,Code_timing_FIN,Code_strict_DE,Code_strict_agree,Code_strict_FIN
acta amazonica,Instituto Nacional de Pesquisas da Amazônia,No,NA,[redacted],[redacted],[redacted],NA,None,Not Expected At All,Optional for Authors,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
acta ethologica,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
acta oecologica-international journal of ecology,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Full (3/3),During Peer Review,Optional for Authors,Partial (2/3),Mandated
african journal of ecology,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated,Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated
african journal of range & forage science,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Full (3/3),Optional for Authors,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
african journal of wildlife research,Southern African Wildlife Management Association,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Encouraged,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
agriculture ecosystems & environment,ScienceDirect by Elsevier,Yes,"option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.O",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,NA,None,Mandated
alpine botany,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
ambient science,NCR&PO,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
american journal of biological anthropology,Wiley,Yes,"Expects Data Sharing
The journal expects that data supporting the results in the paper will be archived in an appropriate public repository. Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly archived. If sharing data compromises ethical standards or legal requirements then authors are not expected to share it.",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
american midland naturalist,University of Notre Dame,No,Ceased in 2023,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
american naturalist,UoC Press,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
animal behaviour,ScienceDirect by Elsevier,No (similar wording),NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Full (3/3),During Peer Review,Encouraged,Full (3/3),Mandated
animal biotelemetry,BioMed Central - Springer Nature,Yes,Biomed policy is mandated for some data therefore encoruaged. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Encouraged,Partial (2/3),Encouraged,During Peer Review,Partial (2/3),During Peer Review,NA,None,Encouraged
animal conservation,ZSL,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
annales zoologici fennici,Finnish Zoological and Botanical Publishing Board,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
annals of botany,OUP,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
annual review of animal biosciences,Annual Reviews,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
