"Journals","Reviewer_A","Reviewer_B","Reviewer_notes","Data_timing_DE","Data_timing_agree","Data_timing_FIN","Data_strict_DE","Data_strict_agree","Data_strict_FIN","Code_timing_DE","Code_timing_agree","Code_timing_FIN","Code_strict_DE","Code_strict_agree","Code_strict_FIN"
"acta amazonica","","","",NA,"None","","Optional for Authors","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"acta ethologica","","","",NA,"None","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"acta oecologica-international journal of ecology","","","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)","","Unclear","Full (3/3)","","Optional for Authors","Partial (2/3)",""
"african journal of ecology","","","","Unclear","Full (3/3)","","Mandated","Partial (2/3)","","Unclear","Full (3/3)","","Encouraged","Partial (2/3)",""
"african journal of range & forage science","","","","During Peer Review","Full (3/3)","During Peer Review","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"african journal of wildlife research","","","","Unclear","Partial (2/3)","","Not Mentioned","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"agriculture ecosystems & environment","","","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)","","Unclear","Partial (2/3)","",NA,"None",""
"alpine botany","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"ambient science","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"american journal of physical anthropology","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"american midland naturalist","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"american naturalist","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated"
"animal behaviour","","","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)","","Unclear","Full (3/3)","","Encouraged","Full (3/3)","Encouraged"
"animal biotelemetry","","","","Unclear","Full (3/3)","","Encouraged","Partial (2/3)","","During Peer Review","Partial (2/3)","",NA,"None",""
"animal conservation","","","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
