Timestamp,Email.Address,Name.of.Reviewer,Name.of.Journal,When.was.the.earliest.the.journal.expected.data.to.be.provided.,Any.other.comments.,RECAT_When.was.the.earliest.the.journal.expected.data.to.be.provided.,RECAT_by,RECAT_notes
10/17/2023 20:53:16,[redacted],[redacted],advances in ecological research,cannot really locate the journal,Unclear if this is a journal? https://www.sciencedirect.com/bookseries/advances-in-ecological-research,Unclear,[redacted],[redacted]
11/01/2023 20:56,[redacted],[redacted],advances in ecological research,Couldn't locate the journal/book series guide to authors after 10 minutes!,Couldn't locate the journal/book series guide to authors after 10 minutes!,Unclear,[redacted],[redacted]
10/17/2023 22:00:06,[redacted],[redacted],african journal of range & forage science,at the submission stage,,During Peer Review,[redacted],[redacted]
11/01/2023 21:20,[redacted],[redacted],african journal of wildlife research,Link not showing how to submit paper in Google Chrome or Firefox,"Link not showing how to submit paper in Google Chrome or Firefox, so cannot assess?",Unclear,[redacted],[redacted]
10/17/2023 20:29:06,[redacted],[redacted],arid ecosystems,"Publicly available at the time of publication, Data availability statement required probably already with first submission",Some data (e.g. DNA sequences) are mandatory to be published. Link to SPRINGER data policy: https://www.springernature.com/de/authors/research-data-policy,After Acceptance (Post-Publication),[redacted],[redacted]
10/17/2023 20:34:48,[redacted],[redacted],ecology,"For Ecology, data and code archiving remains optional with the exception of â€œData Papersâ€ (data required) and â€œStatistical Reportsâ€ (code required).",,Unclear,[redacted],[redacted]
10/17/2023 20:46:40,[redacted],[redacted],ecoscience,"Says it's not required, yet they ask for the DOI during submission",,Unclear,[redacted],[redacted]
12/18/2023 2:53:34,[redacted],[redacted],ecosystem health and sustainability,"Large data sets must be published before publication; all data ""necessary to understand, assess, and extend the conclusions"" must be made available after publication",This policy is not mentioned or linked on the guidelines for authors page; location was not intuitive. Conflicting information about expected timeline of data availability as noted above.,After Acceptance (Post-Publication),[redacted],[redacted]
12/18/2023 4:50:55,[redacted],[redacted],elife,When work is posted as a preprint,,During Peer Review,[redacted],[redacted]
10/17/2023 20:23:17,[redacted],[redacted],environmental evidence,"""whenever possible""",,Unclear,[redacted],[redacted]
11/04/2023 1:53,[redacted],[redacted],evodevo,"Depends on the data type: ""For certain data types (for example genomic data, nucleic acid or protein sequences), BMC mandates data deposition in a public access repository upon submission as there is a community-accepted standard of data deposition and data sharing."" Source: https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials",The information about data publishing and requirements are spread out on a number of web sites. Some of the information is general for all BMC journals and some is probably specific for EcoDevo.,Unclear,[redacted],[redacted]
10/19/2023 10:14:45,[redacted],[redacted],evolutionary biology,"Data is required to be deposited in publicly available repositories prior to peer review, or included as supplementary information files when the manuscript is submitted.","The journal has what Springer calls type 4 research data policy: ""Data sharing, evidence of data sharing and peer review of data required"".  https://www.springernature.com/gp/authors/research-data-policy/research-data-policy-types",During Peer Review,[redacted],[redacted]
10/19/2023 20:43:07,[redacted],[redacted],evolutionary ecology research,No information on data policy,,Not Expected At All,[redacted],[redacted]
10/20/2023 3:11:47,[redacted],[redacted],folia oecologica,No information found,No information found,Not Expected At All,[redacted],[redacted]
10/20/2023 3:38:07,[redacted],[redacted],freshwater science,No information found,No information found,Not Expected At All,[redacted],[redacted]
10/17/2023 20:34:39,[redacted],[redacted],functional ecology,"""At time of publication""",Same policy for all BES journals,After Acceptance (Post-Publication),[redacted],[redacted]
10/19/2023 20:01:32,[redacted],[redacted],integrative organismal biology,"""Whenever possible""",,Unclear,[redacted],[redacted]
10/18/2023 2:37:40,[redacted],[redacted],journal of wildlife management,revision stage?,also this wiley website https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/data-sharing-citation/data-sharing-policy.html#standardtemplates which explains 'expects',Unclear,[redacted],[redacted]
10/19/2023 0:53:01,[redacted],[redacted],new phytologist,At acceptance stage,,After Acceptance (Post-Publication),[redacted],[redacted]
10/24/2023 0:40:39,[redacted],[redacted],people and nature,"it is a ""condition for publication"", but it could be (often is I think) after acceptance that they ask for it if not provided yet.",,After Acceptance (Post-Publication),[redacted],[redacted]
10/18/2023 11:15:05,[redacted],[redacted],proceedings of the national academy of sciences: usa,A statment of data sharing plans is required for submission. All materials must be avaiable for editors and reviewers during peer review. All materials need to be stored in a community-approved public repositories prior to publication.,,During Peer Review,[redacted],[redacted]
1/09/2024 5:37,[redacted],[redacted],revista chilena de historia natural,seems that journal is not active,seems that the last issue was published in 2013,Unclear,[redacted],[redacted]
10/19/2023 1:18:59,[redacted],[redacted],science,At initial submission,"The wording initially makes it unclear if data must be provided during peer review or only after acceptance (i.e. ""where all data underlying the study are available, or will be deposited"" implies it can be done after submission and peer review). However, later on, it is clearly stated that data must be made available at submission for review.",During Peer Review,[redacted],[redacted]
10/19/2023 23:43:31,[redacted],[redacted],scientific reports,At initial submission,"Mandated at submission for editors/referees, encouraged after publication for readers.",During Peer Review,[redacted],[redacted]
10/20/2023 0:48:09,[redacted],[redacted],systematic entomology,At initial submission,,During Peer Review,[redacted],[redacted]
10/21/2023 1:53:55,[redacted],[redacted],tropics,Not mentioned,,Not Expected At All,[redacted],[redacted]
10/21/2023 2:25:02,[redacted],[redacted],vestnik tomskogo gosudarstvennogo universiteta-biologiya,Not mentioned,,Not Expected At All,[redacted],[redacted]
10/21/2023 3:16:14,[redacted],[redacted],vie et milieu-life and environment,Not mentioned,,Not Expected At All,[redacted],[redacted]
11/28/2023 20:39:38,[redacted],[redacted],western north american naturalist,not mentioned,,Not Expected At All,[redacted],[redacted]
