"Strictness of the policy","When is data expected to be shared?","Data policy (# journals)"
"Mandated","During Peer Review","62 (22.55%)"
"Mandated","After Acceptance (Post-Publication)","43 (15.64%)"
"Encouraged","During Peer Review","25 ( 9.09%)"
"Encouraged","After Acceptance (Post-Publication)","37 (13.45%)"
"On Reviewer Request","During Peer Review","47 (17.09%)"
"On Reviewer Request","After Acceptance (Post-Publication)","0 ( 0.00%)"
"Optional for Authors","During Peer Review","15 ( 5.45%)"
"Optional for Authors","After Acceptance (Post-Publication)","9 ( 3.27%)"
"Optional for Authors","Not Expected At All","8 ( 2.91%)"
"Not Mentioned","Not Expected At All","29 (10.55%)"
