subset_number,Journal,assigned_to_email,notes
1,acta amazonica,[redacted],
1,acta ethologica,[redacted],
1,acta oecologica-international journal of ecology,[redacted],
1,advances in ecological research,[redacted],
1,african journal of ecology,[redacted],
1,african journal of range & forage science,[redacted],
1,african journal of wildlife research,[redacted],
1,agriculture ecosystems & environment,[redacted],
1,alpine botany,[redacted],
1,ambient science,[redacted],
1,american journal of physical anthropology,[redacted],
1,american midland naturalist,[redacted],
1,american naturalist,[redacted],
1,animal behaviour,[redacted],
1,animal biotelemetry,[redacted],
2,animal conservation,[redacted],
2,annales zoologici fennici,[redacted],
2,annals of botany,[redacted],
2,annual review of animal biosciences,[redacted],
2,annual review of ecology evolution and systematics,[redacted],
2,annual review of entomology,[redacted],
2,anthropocene,[redacted],
2,anthropological science,[redacted],
2,aob plants,[redacted],
2,applied ecology and environmental research,[redacted],
2,applied soil ecology,[redacted],
2,applied vegetation science,[redacted],
2,aquatic ecology,[redacted],
2,aquatic invasions,[redacted],
2,aquatic microbial ecology,[redacted],
3,aquatic toxicology,[redacted],
3,arctic science,[redacted],
3,arid ecosystems,[redacted],
3,austral ecology,[redacted],
3,australian journal of botany,[redacted],
3,australian systematic botany,[redacted],
3,avian conservation and ecology,[redacted],
3,basic and applied ecology,[redacted],
3,behavior research methods,[redacted],
3,behavioral ecology,[redacted],
3,behavioral ecology and sociobiology,[redacted],
3,biochemical systematics and ecology,[redacted],
3,biodiversity and conservation,[redacted],
3,biogeosciences,[redacted],
3,biological conservation,[redacted],
4,biological invasions,[redacted],
4,biological journal of the linnean society,[redacted],
4,biological reviews,[redacted],
4,biology letters,[redacted],
4,biology open,[redacted],
4,biosystems diversity,[redacted],
4,biotropica,[redacted],
4,bird conservation international,[redacted],
4,bmc ecology,[redacted],
4,bmc ecology and evolution,[redacted],
4,bmc evolutionary biology,[redacted],
4,bulletin of the american museum of natural history,[redacted],
4,bulletin of the peabody museum of natural history,[redacted],
4,chemistry and ecology,[redacted],
4,chemoecology,[redacted],
5,cladistics,[redacted],
5,communications biology,[redacted],
5,community ecology,[redacted],
5,compost science & utilization,[redacted],
5,conservation biology,[redacted],
5,conservation letters,[redacted],
5,conservation physiology,[redacted],
5,contemporary problems of ecology,[redacted],
5,current biology,[redacted],
5,current opinion in insect science,[redacted],
5,development genes and evolution,[redacted],
5,diversity and distributions,[redacted],
5,diversity-basel,[redacted],
5,eco mont-journal on protected mountain areas research,[redacted],
5,ecography,[redacted],
6,ecohydrology,[redacted],
6,ecohydrology & hydrobiology,[redacted],
6,ecologia aplicada,[redacted],
6,ecological applications,[redacted],
6,ecological complexity,[redacted],
6,ecological economics,[redacted],
6,ecological engineering,[redacted],
6,ecological indicators,[redacted],
6,ecological informatics,[redacted],
6,ecological management & restoration,[redacted],
6,ecological modelling,[redacted],
6,ecological monographs,[redacted],
6,ecological processes,[redacted],
6,ecological questions,[redacted],
6,ecological research,[redacted],
7,ecological restoration,[redacted],
7,ecology,[redacted],
7,ecology and evolution,[redacted],
7,ecology and society,[redacted],
7,ecology letters,[redacted],
7,"ecology, environment and conservation",[redacted],
7,ecoscience,[redacted],
7,ecosistemas,[redacted],
7,ecosphere,[redacted],
7,ecosystem health and sustainability,[redacted],
7,ecosystem services,[redacted],
7,ecosystems,[redacted],
7,ecotoxicology,[redacted],
7,elife,[redacted],
7,environmental biology of fishes,[redacted],
8,environmental evidence,[redacted],
8,environmental pollution,[redacted],
8,ethology,[redacted],
8,"ethology, ecology and evolution",[redacted],
8,european journal of soil biology,[redacted],
8,european journal of wildlife research,[redacted],
8,evodevo,[redacted],
8,evolution,[redacted],
8,evolution & development,[redacted],
8,evolution and development,[redacted],
8,evolution letters,[redacted],
8,evolution medicine and public health,[redacted],
8,evolutionary applications,[redacted],
8,evolutionary bioinformatics,[redacted],
8,evolutionary biology,[redacted],
9,evolutionary ecology,[redacted],
9,evolutionary ecology research,[redacted],
9,fems microbiology ecology,[redacted],
9,fire ecology,[redacted],
9,fire-switzerland,[redacted],
9,fish and fisheries,[redacted],
9,flora,[redacted],
9,folia oecologica,[redacted],
9,food webs,[redacted],
9,freshwater biology,[redacted],
9,freshwater science,[redacted],
