Number,Journal,Done,Whoby
1,acta amazonica,,
2,acta ethologica,,
3,acta oecologica-international journal of ecology,,
4,advances in ecological research,,
5,african journal of ecology,,
6,african journal of range & forage science,,
7,african journal of wildlife research,,
8,agriculture ecosystems & environment,,
9,alpine botany,,
10,ambient science,,
11,american journal of physical anthropology,,
12,american midland naturalist,,
13,american naturalist,,
14,animal behaviour,,
15,animal biotelemetry,,
16,animal conservation,,
17,annales zoologici fennici,,
18,annals of botany,,
19,annual review of animal biosciences,,
20,annual review of ecology evolution and systematics,,
21,annual review of entomology,,
22,anthropocene,,
23,anthropological science,,
24,aob plants,,
25,applied ecology and environmental research,,
26,applied soil ecology,,
27,applied vegetation science,,
28,aquatic ecology,,
29,aquatic invasions,,
30,aquatic microbial ecology,,
31,aquatic toxicology,,
32,arctic science,,
33,arid ecosystems,,
34,austral ecology,,
35,australian journal of botany,,
36,australian systematic botany,,
37,avian conservation and ecology,,
38,basic and applied ecology,,
39,behavior research methods,,
40,behavioral ecology,,
41,behavioral ecology and sociobiology,,
42,biochemical systematics and ecology,,
43,biodiversity and conservation,,
44,biogeosciences,,
45,biological conservation,,
46,biological invasions,,
47,biological journal of the linnean society,,
48,biological reviews,,
49,biology letters,,
50,biology open,,
51,biosystems diversity,,
52,biotropica,,
53,bird conservation international,,
54,bmc ecology,,
55,bmc ecology and evolution,,
56,bmc evolutionary biology,,
57,bulletin of the american museum of natural history,,
58,bulletin of the peabody museum of natural history,,
59,chemistry and ecology,,
60,chemoecology,,
61,cladistics,,
62,communications biology,,
63,community ecology,,
64,compost science & utilization,,
65,conservation biology,,
66,conservation letters,,
67,conservation physiology,,
68,contemporary problems of ecology,,
69,current biology,,
70,current opinion in insect science,,
71,development genes and evolution,,
72,diversity and distributions,,
73,diversity-basel,,
74,eco mont-journal on protected mountain areas research,,
75,ecography,,
76,ecohydrology,,
77,ecohydrology & hydrobiology,,
78,ecologia aplicada,,
79,ecological applications,,
80,ecological complexity,,
81,ecological economics,,
82,ecological engineering,,
83,ecological indicators,,
84,ecological informatics,,
85,ecological management & restoration,,
86,ecological modelling,,
87,ecological monographs,,
88,ecological processes,,
89,ecological questions,,
90,ecological research,,
91,ecological restoration,,
92,ecology,,
93,ecology and evolution,,
94,ecology and society,,
95,ecology letters,,
96,"ecology, environment and conservation",,
97,ecoscience,,
98,ecosistemas,,
99,ecosphere,,
100,ecosystem health and sustainability,,
101,ecosystem services,,
102,ecosystems,,
103,ecotoxicology,,
104,elife,,
105,environmental biology of fishes,,
106,environmental evidence,,
107,environmental pollution,,
108,ethology,,
109,"ethology, ecology and evolution",,
110,european journal of soil biology,,
111,european journal of wildlife research,,
112,evodevo,,
113,evolution,,
114,evolution & development,,
115,evolution and development,,
116,evolution letters,,
117,evolution medicine and public health,,
118,evolutionary applications,,
119,evolutionary bioinformatics,,
120,evolutionary biology,,
121,evolutionary ecology,,
122,evolutionary ecology research,,
123,fems microbiology ecology,,
124,fire ecology,,
125,fire-switzerland,,
126,fish and fisheries,,
127,flora,,
128,folia oecologica,,
129,food webs,,
130,freshwater biology,,
131,freshwater science,,
132,frontiers in ecology and evolution,,
133,frontiers in ecology and the environment,,
134,frontiers in forests and global change,,
135,frontiers in zoology,,
136,functional ecology,,
137,fungal diversity,,
138,fungal ecology,,
139,genome biology and evolution,,
140,global change biology,,
141,global ecology and biogeography,,
142,global ecology and conservation,,
143,global environmental change,,
144,heredity,,
145,human ecology,,
146,human-wildlife interactions,,
147,ideas in ecology and evolution,,
148,insect systematics & evolution,,
149,integrative organismal biology,,
150,interciencia,,
151,international journal for parasitology-parasites and wildlife,,
152,international journal of ecology & development,,
153,international journal of sustainable development and world ecology,,
154,invertebrate systematics,,
155,isme journal,,
156,israel journal of ecology & evolution,,
157,journal for nature conservation,,
158,journal of animal ecology,,
159,journal of applied ecology,,
160,journal of arid environments,,
161,journal of avian biology,,
162,journal of biogeography,,
163,journal of biological dynamics,,
164,journal of chemical ecology,,
165,"journal of comparative physiology b: biochemical, systemic and environmental physiology",,
